"BOM060","Miljöriskanalys för ingenjörer","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"CIP011","Design av teknikbaserade innovationer och marknader","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"CIP017","Teknikbaserat entreprenörskap","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"CIP058","Immaterialrättsliga strategier","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"CIP061","Patent och innovationshantering","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"CIU176","Prototyping in interaction design","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU180","Tangible interaction","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU186","Information visualization","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU187","Information visualization","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU196","Mobile computing - Design och implementation","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU207","Lärande och ledarskap i praktiken 1","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU212","Lärande och ledarskap i praktiken 2","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU215","Naturvetenskapligt och tekniskt lärande 1","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU220","Utbildningens uppgifter och ramar","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU225","Leda individ och grupp","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU235","Project in interaction design","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU241","Design av teknologi för barn","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIU255","Naturvetenskapligt och tekniskt lärande 2","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU260","Utvecklingsprojekt i praktiken","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CIU265","Interaction design project 1","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"CIUX02","Masterexamensarbete vid Tillämpad informationsteknologi","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"CIUX06","Masterexamensarbete vid Lärande och ledarskap","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"CTE031","Teknikhistoria","MTS","-"
"DAT015","Maskinorienterad programmering","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DAT016","Programmering av inbyggda system","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DAT026","Matematisk modellering och problemlösning","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DAT060","Matematisk logik för datavetenskap","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT076","Web-applikationer","TIDAL","DATATEKNIK, HÖGSKOLEINGENJÖR"
"DAT085","Datavetenskapligt projekt","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT105","Datorarkitektur","MPEES","INBYGGDA ELEKTRONIKSYSTEM, MASTERPROGRAM"
"DAT140","Typer för bevis och program","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT147","Teknisk rapportskrivning inom Datorer, Nätverk och System","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"DAT151","Programspråk","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT156","Aesthetics of interaction","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"DAT157","Design av användarupplevelser","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"DAT166","Software product line engineering","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT205","Advanced computer graphics","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"DAT215","Design och konstruktion av grafiska gränssnitt","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DAT216","Design och konstruktion av grafiska gränssnitt","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"DAT220","Advanced software architecture","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT230","Requirements engineering","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT231","Requirements engineering","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT235","Forskningsinriktad kurs inom data- och informationsteknik","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"DAT240","Model-driven engineering","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"DAT245","Empirical software engineering","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
